Declarative Constraints
"ChainResponse(CQ, {RIR, VCI, RGR})"
"ChainResponse(RPB, {CI})"
"ChainResponse(CPRI, {CPOI})"
"AlternateResponse(CP, {RIR, VCI, RGR})"
"AlternateResponse(RIR, {RIR, CI, RPB, VCI, RGR})"
"AlternateResponse(RGR, {RPB, VCI, CI, RGR})"
"AlternateResponse(ROC, {RIR, VCI, RGR})"
"AlternateResponse(CPOI, {RIR, VCI, RGR})"
"AlternateResponse(VCI, {RPB, CI})"
"NotCooccurance(CPOI, CPOI)"
"NotCooccurance(RPB, RPB)"
"NotCooccurance(CI, CI)"
"NotCooccurance(CP, CP)"
"NotCooccurance(CPRI, CPRI)"
"NotCooccurance(CQ, CQ)"
"NotCooccurance(ROC, CP)"
"NotCooccurance(VCI, VCI)"
"NotCooccurance(ROC, ROC)"
